Id,SpeakerName,Phrase,translation
1040402015,電姫劇団員たち,「嘘！　これってすごくない！？」「とうとう世界に名を轟かせちゃったか～」/n「今から英語の勉強しとかなきゃヤバい？　ネットスラングでいける？」,“不！这太厉害了！？““终于在世界范围内扬名了啊～”/n“要不要现在开始学英语？能用网络用语吗？”
1040402016,いろは,僕たち電姫の活躍が、ついに演劇界でも認められたということですね！/nすごいです！　もしやとは思いましたけど……なんだか信じられません！,我们的电姬的活跃，终于在演剧界得到了认可啊！/n太厉害了！ 虽然有点在意，但还是觉得难以置信！
1040402017,美兎,うん……世界演劇リーグなんて、遠い世界のことのように思ってたけど……/nげ、現実なんだ……本当に、すごい……。,嗯……一直觉得世界演剧联盟是遥远的世界的事，/n但是……是现实啊……真的，太厉害了……。
1040402018,カミラ,うーん、そんなに注目されるってことは、/nメイクにもさらに気合い入れなきゃかな～。,嗯，既然要受到这么多的关注，/n那我就得更努力地化好妆了呢～。
1040402019,蕾,もしも、吉兆を呼ぶ化粧の色が知りたければ、我が占いを頼るといい。/n今後の舞台に相応しいラッキーカラーを、私が教えてやろう。,如果想知道能带来好运的化妆颜色，可以来找我占卜。/n我会告诉你适合各位下一次舞台的幸运颜色。
1040402020,カミラ,マジすか！？　さっすが先輩、頼りになるー！,真的吗！？果然还是前辈最可靠！
1040402021,マチコ,まあ、はやる気持ちもわかるが、少し落ち着け。/n……とはいえ、これは絶好の機会だ。,嗯，我也能理解你激动的心情，/n……不过，这绝对是一个绝佳的机会。
1040402022,マチコ,今まで電姫の作品を観てこなかった、/n『演劇らしい演劇』を好む層へ、売り込むためのな。,这是为了，让那些过去没有看过电姬作品，/n喜欢“正统”演剧的人群，来关注我们。
1040402023,マチコ,そのためにも、お前たちにはホロスコープシーズンに注力してもらう。/nこれ程おあつらえ向きな舞台を、こっちが生かさない手はないからね。,为了那个，我希望各位在占星季期间，都认真投入。/n我可不想让这么适合的机会就此流失。
1040402024,電姫劇団員たち,はい！,是！
1040402025,叶羽,うわ～、やっぱこうなった。/n早く家に帰ってゲームしたいのに。今大事なイベ期間なんだから～。,呜哇～，果然是这样。/n真想早点回家玩游戏。现在是重要的活动期间啊～。
1040402026,要,毎度のことではあるけど、今回ばかりは叶羽も真面目にやりなさいよね？/nボスも話してた通り、電姫にとって大事な時なんだから。,虽然总是这样说，但这次叶羽你也要认真一点哦？/n老大也说了，这对电姬来说是很重要的时刻。
1040402027,叶羽,え～……アタシにとってもイベは大事なのに～。,哎～……对我来说，活动也很重要啊～。
1040402028,要,ちなみに、次の演目の役柄は、オーディションで決めることにしたわ。/n……これはボスと話し合って決めたことよ。,顺便说一下，下一次的角色，将通过试镜决定。/n……这是和老大商量好的。
1040402029,要,電姫では今までにない試みだけど、それくらい重要な場面ってことだから、/nみんなも覚悟しておいて頂戴ね。,这对于电姬来说是前所未有的尝试，但既然是这么重要的时刻，/n希望各位做好准备。
1040402030,いろは,あの……！　演目はもう決まったんですか？,那个……！已经决定演目了吗？
1040402031,要,ええ。/n次の公演の演目は……『オズの魔法使い』よ。,是的。/n下一次公演的演目是……《绿野仙踪》。
1040402032,いろは,……！,……！
1040402033,いろは,（……オズの……魔法使い……）,（……绿野仙踪……）
title,为什么是电姬？,,
info,翻译：TranslateGemma:12b  修正：Huang207,,
